Song Name,Blues,Classical,Country,Electronic,Hip-Hop,Jazz,Metal,Pop,Reggae,Rock
Good Morning School Girl - 2002 Remastered _by_ Sonny Boy Williamson I,8.246374,0.6534265,-1.4288028,1.4639579,-0.48196796,6.5137305,-4.2852693,-2.369777,0.8308583,-1.2817993
Got My Mojo Working _by_ Muddy Waters,8.296863,0.5476512,1.6977305,-2.657872,-3.1640022,2.0237837,1.639993,-7.1475806,-0.4646302,3.3330603
Got The Bottle Up And Gone _by_ Sonny Boy Williamson I,9.062865,2.1512325,-2.5573742,3.9914005,3.5904524,5.935707,0.2681969,-2.7316618,0.7336531,-2.8104537
"Hello, Dolly! _by_ Louis Armstrong",7.3166323,-0.046481516,-1.0271382,-3.2709384,3.7894027,11.990096,-9.785281,-0.9052076,0.2786731,0.30339426
Hide Away _by_ Freddie King,6.5457106,-1.6135441,0.91774416,-1.0511124,-0.50069886,2.5884292,1.4619322,-4.4636407,-1.0970522,2.9053922
Highway 49 _by_ Howlin' Wolf,7.57448,-0.19642654,2.0608811,-5.4061317,-5.2472973,0.12391322,3.8803797,-6.293224,-1.3782117,9.02129
How Many More Years _by_ Howlin' Wolf,8.607411,2.1130009,3.3159199,-2.4213357,-5.366542,3.2370386,-2.212551,-2.991525,-3.4756982,4.177509
I Ain't Superstitious _by_ Howlin' Wolf,10.951451,-1.1312443,0.37048748,-2.5066733,-3.9677582,-2.118037,-2.0667424,-3.7151804,2.0685692,4.984636
I Been Dealing with the Devil - Remastered 2003 _by_ Sonny Boy Williamson I,6.5303116,0.41024765,-1.0634367,-2.9878104,0.35199028,4.393175,-4.738387,-0.7831071,-0.7584376,0.6279339
I Can't Be Satisfied _by_ Muddy Waters,7.839325,1.3354818,-1.0934188,0.7931014,0.70700353,7.582099,-3.8307354,-4.3602786,-0.1755789,1.2731264
I Can't Quit You Baby _by_ Willie Dixon,12.656684,-4.0944915,0.5813414,-0.83256966,-0.6952055,5.395933,-6.5370483,-2.1429138,2.748945,4.334432
I Just Want to Make Love to You _by_ Willie Dixon,8.030553,-0.45528904,-2.5789769,-1.8755302,-0.18621635,3.2637737,2.2838273,-4.4923253,-0.14772351,1.3517231
I Love The Life I Live (I Live The Life I Love) _by_ Muddy Waters,7.9361134,-2.4719741,0.95100117,0.44179076,-0.4504751,4.196705,-0.3897003,-2.1361268,-1.7150071,2.0808022
I Need Some Air _by_ Otis Spann,9.524958,1.8266166,2.9061828,-4.5800653,-6.212551,4.4892273,-1.6450086,-4.2582283,-0.8808386,2.9173596
I Need Some Money _by_ John Lee Hooker,12.858716,-0.27039877,1.0421276,0.91795784,1.435535,1.5082554,0.4750287,-6.0716,2.332455,3.5439067
I'm In The Mood _by_ John Lee Hooker,19.180206,1.4555382,-7.9903054,-0.79813725,-0.07914919,10.814999,-1.4919384,-3.1183743,4.402763,-3.955552
I'm Ready _by_ Willie Dixon,8.247613,-0.44177786,0.54215384,-0.816372,-0.80031073,2.5176756,-3.7747955,-2.6827536,-0.623634,3.5045676
I'm Tore Down _by_ Freddie King,8.605372,0.7722198,3.6256769,-3.146028,-4.3715615,2.6512728,-0.03510113,-5.5268536,-2.1322858,4.976048
I'm Your Hoochie Coochie Man _by_ Muddy Waters,12.050761,-1.3723956,4.0037346,0.22307342,-3.5221567,-0.29705244,-1.6942132,-4.9805546,2.4911685,2.8882039
Killing Floor _by_ Howlin' Wolf,8.745865,-2.4327097,2.344091,-1.6105094,-1.6525342,-0.084647246,3.4971728,-5.1309342,-1.1694174,5.080884
La vie en rose - Single Version _by_ Louis Armstrong,7.9666104,1.1316026,-6.5282903,6.005695,2.2629938,13.324348,-1.026504,0.4849458,1.4184384,-0.43230945
Little Red Rooster _by_ Howlin' Wolf,7.5084066,0.08415375,-1.2137945,-1.4784224,-0.34396797,3.039437,-2.4054728,-4.0345225,-0.18899648,2.0208914
Little Red Rooster _by_ Willie Dixon,10.595226,-1.8495506,4.047529,-1.6776438,-1.0397075,-1.6984775,-2.3934507,-1.6772763,0.66448706,4.1980066
Love in Vain - Take 1 _by_ Robert Johnson,14.973816,2.666063,-1.3955767,-0.008725702,2.1854174,12.139664,-4.078473,-7.8783655,6.5376105,0.5216649
ma Rainey's Black Bottom _by_ Ma Rainey,9.924865,2.5017798,-1.8433458,-1.4592474,-1.5638618,7.5624566,-4.96359,-6.0088644,0.21520163,-0.6973909
Mack the Knife _by_ Louis Armstrong,6.134564,-2.3620665,0.5519867,-0.7922756,0.53913045,7.8735857,-4.310951,-0.3002516,-0.24983032,1.8647553
Mannish Boy _by_ Muddy Waters,7.9858646,-1.3803707,2.2311018,-1.0916922,-0.79572624,1.4521598,2.0877619,-3.2168257,-1.2603768,3.0416434
Me And My Guitar _by_ Freddie King,6.243108,-0.6433989,3.6004481,0.29171652,-1.7302122,1.3932099,0.31030053,-1.3988822,-2.0824966,3.0427108
Me and the Devil Blues _by_ Robert Johnson,15.170995,7.4479713,-3.83679,-0.6973197,-1.7675102,15.025844,-4.6564283,-6.2409124,3.0935528,-1.0593029
Moanin' At Midnight _by_ Howlin' Wolf,8.823472,0.9080297,-1.6024474,-1.0395162,-3.0299711,2.9919777,-3.692266,-2.6100721,-0.9430534,3.3512082
Moon Blues _by_ Otis Spann,11.787898,-3.5885034,1.7033868,-1.3074362,-0.14843506,1.463787,-4.51811,-4.6635437,0.3019606,6.1868253
My Baby I've Been Your Slave _by_ Sonny Boy Williamson I,9.715825,1.5452373,-3.3296998,4.8476543,0.9009976,7.7148495,-1.7659942,-2.5907052,-0.55842644,-2.2622628
My Home Is In The Delta _by_ Muddy Waters,14.170956,5.9162407,-6.715825,4.7426047,5.795309,11.800815,-2.3550029,-4.5149484,6.055218,-2.3130984
"One Bourbon, One Scotch, One Beer _by_ John Lee Hooker",7.4975243,-0.39190403,0.40221182,-3.4412112,-0.849873,3.473999,-3.275744,-2.7856884,-0.8024384,3.611354
